mc_step,rho_C,L_CD
840,0.8395,2024
841,0.0796,890
842,0.8437,1928
843,0.0788,882
844,0.8452,1900
845,0.0794,862
846,0.8456,1904
847,0.0789,842
848,0.8445,1856
849,0.0827,914
850,0.8437,1878
851,0.079,840
852,0.843,1936
853,0.0811,898
854,0.8407,1896
855,0.0818,906
856,0.8427,1830
857,0.0812,936
858,0.8438,1828
859,0.0798,870
860,0.8442,1880
861,0.0812,930
862,0.8418,1910
863,0.0816,896
864,0.8456,1732
865,0.0832,908
866,0.8419,1866
867,0.085,874
868,0.8449,1788
869,0.0812,794
870,0.8455,1824
871,0.0797,866
872,0.8422,1886
873,0.081,882
874,0.8448,1818
875,0.0824,878
876,0.8393,1892
877,0.0837,914
878,0.8404,1912
879,0.0791,890
880,0.8451,1888
881,0.0796,850
882,0.8431,1884
883,0.0803,894
884,0.8446,1924
885,0.0798,864
886,0.8436,1932
887,0.0812,884
888,0.844,1804
889,0.081,908
890,0.8448,1862
891,0.0807,886
892,0.8448,1812
893,0.0838,894
894,0.845,1812
895,0.0807,872
896,0.8489,1842
897,0.0784,838
898,0.8509,1792
899,0.0752,818
900,0.848,1754
901,0.079,878
902,0.8475,1830
903,0.077,810
904,0.85,1714
905,0.0785,782
906,0.8472,1808
907,0.0789,834
908,0.8493,1774
909,0.0755,784
910,0.85,1782
911,0.0762,784
912,0.8516,1736
913,0.0779,822
914,0.8459,1842
915,0.0786,824
916,0.847,1910
917,0.0791,844
918,0.8472,1774
919,0.0791,828
920,0.8493,1750
921,0.0785,828
922,0.8483,1800
923,0.076,826
924,0.849,1774
925,0.0765,814
926,0.8474,1866
927,0.0787,870
928,0.8453,1860
929,0.0793,886
930,0.8493,1740
931,0.0779,832
932,0.8478,1836
933,0.0771,834
934,0.8486,1864
935,0.0765,818
936,0.8504,1772
937,0.077,818
938,0.8474,1882
939,0.0783,840
940,0.8515,1740
941,0.0793,854
942,0.8487,1716
943,0.0806,854
944,0.8484,1738
945,0.0805,898
946,0.8475,1738
947,0.0804,854
948,0.85,1744
949,0.0782,818
950,0.847,1806
951,0.0779,820
952,0.8475,1758
953,0.077,826
954,0.8514,1762
955,0.0768,846
956,0.8475,1830
957,0.0765,852
958,0.8477,1856
959,0.0758,826
960,0.8552,1784
961,0.0758,878
962,0.8504,1824
963,0.0759,822
964,0.8505,1794
965,0.076,796
966,0.8533,1688
967,0.076,840
968,0.85,1764
969,0.0763,818
970,0.8505,1758
971,0.0772,830
972,0.851,1788
973,0.0757,800
974,0.8529,1764
975,0.0759,818
976,0.8499,1834
977,0.0754,818
978,0.8501,1856
979,0.0762,822
980,0.8539,1734
981,0.075,804
982,0.8528,1816
983,0.0734,798
984,0.8511,1834
985,0.0746,822
986,0.8504,1844
987,0.0758,842
988,0.8534,1746
989,0.0764,804
990,0.8524,1796
991,0.077,840
992,0.853,1726
993,0.0753,786
994,0.8534,1790
995,0.0759,830
996,0.8503,1906
997,0.0767,852
998,0.851,1764
999,0.0769,818
1000,0.8478,1790
1001,0.0782,806
1002,0.8483,1804
1003,0.0765,862
1004,0.8515,1806
1005,0.0753,822
1006,0.8547,1788
1007,0.0726,756
1008,0.86,1704
1009,0.0719,750
1010,0.8557,1804
1011,0.0721,790
1012,0.8564,1852
1013,0.0716,800
1014,0.8596,1758
1015,0.071,784
1016,0.8549,1798
1017,0.0732,772
1018,0.8554,1770
1019,0.073,734
1020,0.8584,1682
1021,0.073,764
1022,0.8525,1788
1023,0.0751,818
1024,0.8526,1726
1025,0.0753,798
1026,0.8523,1700
1027,0.0787,862
1028,0.8501,1724
1029,0.0778,846
1030,0.8498,1828
1031,0.0755,834
1032,0.8523,1724
1033,0.0742,784
1034,0.8543,1816
1035,0.0736,772
1036,0.8551,1824
1037,0.0735,772
1038,0.8581,1716
1039,0.0741,774
1040,0.8542,1782
1041,0.0756,842
1042,0.8548,1684
1043,0.0743,796
1044,0.8529,1820
1045,0.0745,788
1046,0.8565,1784
1047,0.0721,786
1048,0.8533,1860
1049,0.073,792
1050,0.856,1824
1051,0.073,778
1052,0.8553,1812
1053,0.0731,814
1054,0.8524,1778
1055,0.0749,802
1056,0.8538,1786
1057,0.0738,806
1058,0.8577,1716
1059,0.0719,770
1060,0.8612,1712
1061,0.0715,756
1062,0.8603,1756
1063,0.0725,790
1064,0.855,1778
1065,0.0734,808
1066,0.8556,1722
1067,0.0734,778
1068,0.8568,1714
1069,0.0743,790
1070,0.8574,1752
1071,0.0723,766
