mc_step,rho_C,L_CD
555,0.6605,8894
556,0.6572,8958
557,0.6647,8890
558,0.6645,8946
559,0.6687,8864
560,0.665,8958
561,0.661,9082
562,0.6634,9020
563,0.6659,8808
564,0.6539,9056
565,0.6606,8996
566,0.6604,8946
567,0.674,8716
568,0.6663,8798
569,0.6571,9010
570,0.665,8896
571,0.6585,8882
572,0.6538,8994
573,0.6621,8872
574,0.6621,8830
575,0.6631,8870
576,0.6682,8906
577,0.6538,9100
578,0.6623,8920
579,0.6587,9082
580,0.6604,8946
581,0.6612,8850
582,0.6573,9056
583,0.667,8864
584,0.6618,9052
585,0.652,9002
586,0.6544,9058
587,0.6606,8950
588,0.6623,8902
589,0.6619,9024
590,0.6613,9006
591,0.6577,9036
592,0.6616,8934
593,0.6583,8962
594,0.6594,8978
595,0.669,8934
596,0.6567,8996
597,0.6607,8946
598,0.6666,8852
599,0.6597,8858
600,0.6583,9042
601,0.6598,8896
602,0.6591,8984
603,0.6673,8726
604,0.654,9002
605,0.6623,8960
606,0.6729,8716
607,0.6678,8956
608,0.6624,8848
609,0.668,8912
610,0.6663,8844
611,0.6576,9086
612,0.6526,9110
613,0.6558,9112
614,0.6579,8982
615,0.6667,8820
616,0.6644,8926
617,0.664,8868
618,0.6691,8752
619,0.6573,8976
620,0.6581,8922
621,0.6627,9026
622,0.6645,9010
623,0.6558,9052
624,0.655,9040
625,0.6594,8994
626,0.661,8958
627,0.6683,8938
628,0.6567,9150
629,0.654,9086
630,0.6576,9070
631,0.6656,8876
632,0.6628,8934
633,0.6594,8994
634,0.6697,8918
635,0.6654,8894
636,0.6537,9084
637,0.6633,9008
638,0.65,9096
639,0.6534,9192
640,0.6593,8958
641,0.6677,8920
642,0.6698,8802
643,0.6631,8900
644,0.6621,8990
645,0.6642,8888
646,0.6654,8878
647,0.655,9142
648,0.6612,9080
649,0.6541,8976
650,0.6603,9008
651,0.6624,8930
652,0.6476,9104
653,0.6548,8978
654,0.6535,9002
655,0.6624,8942
656,0.66,9080
657,0.6698,8906
658,0.6617,9012
659,0.659,8988
660,0.6618,8884
661,0.6599,9078
662,0.6688,8982
663,0.6564,9010
664,0.6668,8892
665,0.666,8864
666,0.6655,8844
667,0.6585,8948
668,0.6619,8880
669,0.6637,8962
670,0.6589,9030
671,0.6481,9132
672,0.6603,9034
673,0.6632,8910
674,0.6593,8994
675,0.6533,9000
676,0.647,9110
677,0.6507,9050
678,0.6553,9028
679,0.6628,8912
680,0.6694,8848
681,0.663,8954
682,0.654,9074
683,0.654,9008
684,0.6562,9020
685,0.6582,8932
686,0.647,9158
687,0.6578,9020
688,0.6583,9058
689,0.6688,8860
690,0.6575,8972
691,0.662,9012
692,0.6686,8870
693,0.6605,9100
694,0.663,8928
695,0.6573,9054
696,0.6546,9034
697,0.6596,9010
698,0.6669,8970
699,0.664,8894
700,0.6653,8814
701,0.6552,8866
702,0.6616,8936
703,0.672,8830
704,0.6657,8906
705,0.6579,9068
706,0.6603,8970
707,0.6615,8974
708,0.6665,8948
709,0.66,9008
