mc_step,rho_C,rho_CD
895,0.186,0.3024
896,0.2116,0.3292
897,0.178,0.296
898,0.2228,0.354
899,0.1736,0.2832
900,0.2148,0.3364
901,0.178,0.296
902,0.2168,0.3384
903,0.1752,0.292
904,0.2124,0.3292
905,0.204,0.326
906,0.196,0.312
907,0.1988,0.3136
908,0.1936,0.316
909,0.2032,0.3284
910,0.1888,0.3192
911,0.2016,0.3208
912,0.1916,0.3124
913,0.204,0.332
914,0.2044,0.3256
915,0.1904,0.3092
916,0.2004,0.318
917,0.1808,0.286
918,0.2112,0.3332
919,0.1908,0.306
920,0.1956,0.3104
921,0.2,0.3224
922,0.206,0.3292
923,0.1936,0.3108
924,0.1996,0.3128
925,0.1928,0.3188
926,0.2032,0.3252
927,0.1928,0.3192
928,0.1916,0.3184
929,0.2124,0.3308
930,0.1924,0.3104
931,0.194,0.3176
932,0.196,0.3064
933,0.1888,0.3124
934,0.1992,0.3244
935,0.208,0.3316
936,0.1948,0.3076
937,0.204,0.3208
938,0.1992,0.316
939,0.2024,0.32
940,0.188,0.3036
941,0.2012,0.3164
942,0.198,0.3048
943,0.1896,0.3036
944,0.202,0.3208
945,0.1924,0.3016
946,0.1972,0.2964
947,0.2148,0.3316
948,0.1888,0.3056
949,0.2044,0.3168
950,0.186,0.3016
951,0.2092,0.32
952,0.1972,0.3084
953,0.214,0.3376
954,0.1948,0.308
955,0.196,0.3132
956,0.2016,0.3192
957,0.1988,0.328
958,0.1864,0.3088
959,0.2012,0.3264
960,0.1932,0.3224
961,0.214,0.34
962,0.1956,0.3192
963,0.2016,0.3168
964,0.208,0.3292
965,0.1916,0.3224
966,0.2028,0.328
967,0.1928,0.3208
968,0.1948,0.302
969,0.1936,0.3124
970,0.2012,0.318
971,0.1816,0.2968
972,0.2184,0.3364
973,0.178,0.2876
974,0.222,0.3492
975,0.1848,0.2948
976,0.2248,0.3344
977,0.1884,0.3052
978,0.2128,0.3428
979,0.1972,0.3304
980,0.1896,0.3124
981,0.2104,0.3384
982,0.198,0.3176
983,0.1968,0.314
984,0.1824,0.2948
985,0.2196,0.346
986,0.192,0.3112
987,0.2,0.3232
988,0.1984,0.3208
989,0.2056,0.3308
990,0.1908,0.3056
991,0.1824,0.2836
992,0.2248,0.3288
993,0.188,0.2944
994,0.21,0.3252
995,0.1864,0.3116
996,0.2004,0.3244
997,0.2048,0.3248
998,0.196,0.3096
999,0.1976,0.306
1000,0.2092,0.3244
1001,0.1992,0.3096
1002,0.196,0.3116
1003,0.1952,0.3036
1004,0.2116,0.3244
1005,0.1856,0.3028
1006,0.2068,0.3292
1007,0.1908,0.31
1008,0.1928,0.3116
1009,0.1968,0.3196
1010,0.2072,0.3392
1011,0.1768,0.2912
1012,0.2156,0.3512
1013,0.1804,0.302
1014,0.2096,0.3452
1015,0.2032,0.3252
1016,0.1996,0.3248
1017,0.2136,0.3444
1018,0.192,0.3204
1019,0.2116,0.3388
1020,0.1944,0.3132
1021,0.2,0.3268
1022,0.214,0.3416
1023,0.196,0.3188
1024,0.2108,0.3268
1025,0.1924,0.312
1026,0.2264,0.3456
1027,0.1768,0.2956
1028,0.2248,0.342
1029,0.1812,0.2848
1030,0.2164,0.3284
1031,0.1912,0.302
1032,0.2008,0.3228
1033,0.1892,0.3012
1034,0.2096,0.3248
1035,0.1892,0.3056
1036,0.212,0.3332
1037,0.1864,0.3096
1038,0.2152,0.3444
1039,0.1772,0.2916
1040,0.212,0.336
1041,0.1764,0.2904
1042,0.2292,0.3512
1043,0.1768,0.2928
1044,0.2212,0.3504
1045,0.1712,0.2872
1046,0.2248,0.3488
1047,0.1832,0.298
1048,0.2084,0.342
1049,0.1884,0.3148
1050,0.2188,0.3552
1051,0.1796,0.2928
1052,0.2136,0.328
1053,0.1848,0.3028
1054,0.2068,0.326
1055,0.2024,0.3304
1056,0.1904,0.3056
1057,0.2024,0.3292
1058,0.1944,0.3264
1059,0.2032,0.338
1060,0.1916,0.3216
1061,0.1932,0.3196
1062,0.2076,0.3316
1063,0.1868,0.306
1064,0.206,0.3224
1065,0.176,0.2928
1066,0.2208,0.344
1067,0.2008,0.316
1068,0.1976,0.3192
1069,0.1936,0.3096
1070,0.1896,0.3116
1071,0.1948,0.312
1072,0.1996,0.32
1073,0.2092,0.326
1074,0.1912,0.3156
1075,0.208,0.3236
1076,0.2088,0.33
1077,0.1908,0.3188
1078,0.2088,0.3244
1079,0.2,0.314
1080,0.1964,0.3152
1081,0.2084,0.3256
1082,0.1884,0.2956
1083,0.2072,0.3212
1084,0.1988,0.3112
1085,0.2088,0.3304
1086,0.186,0.302
1087,0.2204,0.3424
1088,0.178,0.2944
1089,0.214,0.3388
1090,0.1916,0.3132
1091,0.1976,0.3116
1092,0.192,0.3036
1093,0.2192,0.3436
1094,0.186,0.304
1095,0.2208,0.3392
1096,0.1772,0.29
1097,0.2104,0.3256
1098,0.1932,0.3104
1099,0.2072,0.3324
1100,0.2012,0.3328
1101,0.19,0.3092
1102,0.214,0.3396
1103,0.1732,0.288
1104,0.214,0.33
1105,0.1892,0.3052
1106,0.21,0.326
1107,0.1824,0.304
1108,0.2096,0.326
1109,0.192,0.3132
1110,0.196,0.3192
1111,0.196,0.3168
1112,0.2056,0.3224
1113,0.1964,0.318
1114,0.1948,0.3068
1115,0.1992,0.3184
1116,0.2096,0.332
1117,0.2032,0.312
1118,0.1884,0.3068
1119,0.208,0.3264
1120,0.1848,0.302
1121,0.2008,0.3252
1122,0.1968,0.3128
1123,0.2076,0.3396
1124,0.1948,0.3144
1125,0.1972,0.3224
1126,0.2052,0.3152
1127,0.1996,0.3204
1128,0.186,0.3064
1129,0.208,0.3348
1130,0.1984,0.3172
1131,0.1936,0.3088
1132,0.1996,0.3308
1133,0.1924,0.3112
1134,0.2024,0.3268
1135,0.1976,0.324
1136,0.2032,0.326
1137,0.1972,0.3176
1138,0.1928,0.3128
1139,0.2084,0.3296
1140,0.1832,0.3092
1141,0.2164,0.3376
1142,0.1848,0.3004
1143,0.2012,0.3156
1144,0.1868,0.3028
1145,0.2012,0.322
1146,0.1796,0.2916
