mc_step,rho_C,rho_CD
829,0.3516,0.1972
830,0.4764,0.23
831,0.3548,0.2052
832,0.4648,0.2012
833,0.3508,0.1976
834,0.4708,0.2004
835,0.3572,0.198
836,0.4832,0.2112
837,0.3556,0.1936
838,0.4652,0.206
839,0.3656,0.1916
840,0.464,0.2052
841,0.3664,0.1908
842,0.4692,0.2128
843,0.3572,0.2024
844,0.4648,0.2272
845,0.3596,0.2036
846,0.48,0.2228
847,0.352,0.2004
848,0.4736,0.2088
849,0.3516,0.2052
850,0.4784,0.1976
851,0.3512,0.1984
852,0.4752,0.2212
853,0.3596,0.2012
854,0.4616,0.2124
855,0.364,0.1936
856,0.4732,0.2184
857,0.3616,0.2148
858,0.4688,0.2108
859,0.3628,0.2052
860,0.4684,0.22
861,0.3556,0.2028
862,0.4796,0.2204
863,0.3508,0.19
864,0.4776,0.214
865,0.3568,0.2212
866,0.4628,0.2292
867,0.3636,0.2208
868,0.4532,0.2096
869,0.3632,0.2136
870,0.4652,0.2248
871,0.3628,0.218
872,0.4668,0.2236
873,0.3636,0.2268
874,0.468,0.2268
875,0.3588,0.2116
876,0.4764,0.2276
877,0.3536,0.2104
878,0.4604,0.2136
879,0.3596,0.2
880,0.4724,0.2156
881,0.3548,0.202
882,0.4704,0.2156
883,0.362,0.2004
884,0.4652,0.2096
885,0.3656,0.208
886,0.4564,0.2136
887,0.366,0.2152
888,0.476,0.2128
889,0.3604,0.1956
890,0.4672,0.2108
891,0.3696,0.196
892,0.4608,0.2116
893,0.364,0.204
894,0.4696,0.2148
895,0.3628,0.2036
896,0.4636,0.2116
897,0.3544,0.1952
898,0.4668,0.2164
899,0.3624,0.206
900,0.4516,0.2112
901,0.3688,0.2116
902,0.4624,0.218
903,0.36,0.1988
904,0.4776,0.2208
905,0.3392,0.1864
906,0.4844,0.2132
907,0.3444,0.1952
908,0.478,0.2228
909,0.3436,0.204
910,0.484,0.2296
911,0.3512,0.212
912,0.4776,0.2312
913,0.3524,0.2016
914,0.4752,0.2144
915,0.3592,0.2
916,0.4648,0.206
917,0.3624,0.2016
918,0.4692,0.214
919,0.3612,0.202
920,0.4804,0.2188
921,0.3424,0.1964
922,0.4792,0.2204
923,0.3576,0.2016
924,0.4828,0.2104
925,0.3508,0.1924
926,0.4696,0.2136
927,0.3484,0.2072
928,0.4796,0.2216
