mc_step,rho_C,rho_CD
1059,0.0988,0.0544
1060,0.7752,0.132
1061,0.1032,0.0528
1062,0.7784,0.1208
1063,0.108,0.0596
1064,0.7736,0.14
1065,0.102,0.0544
1066,0.784,0.136
1067,0.0968,0.0552
1068,0.7784,0.1324
1069,0.0984,0.054
1070,0.7816,0.1312
1071,0.0976,0.0512
1072,0.7804,0.1372
1073,0.0972,0.0524
1074,0.788,0.1272
1075,0.0912,0.0488
1076,0.7968,0.1192
1077,0.094,0.0448
1078,0.788,0.1256
1079,0.0932,0.0456
1080,0.7972,0.12
1081,0.0912,0.0516
1082,0.788,0.134
1083,0.092,0.0488
1084,0.8004,0.1276
1085,0.092,0.0452
1086,0.792,0.1332
1087,0.0956,0.0512
1088,0.7852,0.1308
1089,0.0936,0.0516
1090,0.7924,0.134
1091,0.0904,0.0452
1092,0.7912,0.1332
1093,0.0904,0.048
1094,0.7896,0.132
1095,0.094,0.05
1096,0.7872,0.1352
1097,0.0908,0.0476
1098,0.784,0.1348
1099,0.0896,0.0452
1100,0.792,0.1356
1101,0.0932,0.052
1102,0.7868,0.1396
1103,0.0932,0.0488
1104,0.788,0.142
1105,0.0872,0.0436
1106,0.792,0.1272
1107,0.0916,0.052
1108,0.7928,0.128
1109,0.0912,0.0428
1110,0.7984,0.1296
1111,0.0876,0.0436
1112,0.806,0.1256
1113,0.0848,0.042
1114,0.7948,0.1296
1115,0.0904,0.0436
1116,0.7924,0.1224
1117,0.0892,0.044
1118,0.796,0.1312
1119,0.09,0.0488
1120,0.7968,0.1232
1121,0.0888,0.0472
1122,0.7984,0.1256
1123,0.0884,0.0464
1124,0.794,0.1276
1125,0.0924,0.0528
1126,0.792,0.1288
1127,0.0912,0.0488
1128,0.7904,0.1332
1129,0.0884,0.0484
1130,0.79,0.1308
1131,0.09,0.0476
1132,0.7932,0.1308
1133,0.0928,0.0468
1134,0.7912,0.1284
1135,0.0908,0.048
1136,0.794,0.1168
1137,0.0908,0.0468
1138,0.798,0.1292
1139,0.0872,0.0412
1140,0.8004,0.1324
1141,0.0872,0.0444
1142,0.7948,0.1336
1143,0.092,0.0468
1144,0.788,0.1296
1145,0.0932,0.0416
1146,0.7968,0.1292
1147,0.0876,0.042
1148,0.7908,0.1312
1149,0.0908,0.046
1150,0.804,0.122
1151,0.0888,0.0448
1152,0.7916,0.1376
1153,0.0856,0.0408
1154,0.7932,0.1356
1155,0.0904,0.0492
1156,0.7984,0.12
1157,0.0888,0.0456
1158,0.7944,0.1332
1159,0.0924,0.0488
1160,0.782,0.136
1161,0.0932,0.0476
1162,0.7948,0.1324
1163,0.0928,0.0416
1164,0.794,0.1312
1165,0.0912,0.0424
1166,0.8052,0.1112
1167,0.0892,0.0432
1168,0.7936,0.132
1169,0.09,0.0448
1170,0.8004,0.1176
1171,0.0908,0.05
1172,0.7912,0.126
1173,0.0908,0.0444
1174,0.8048,0.126
1175,0.0828,0.048
1176,0.8028,0.1184
1177,0.0904,0.0416
1178,0.7916,0.1316
1179,0.0904,0.0464
1180,0.7932,0.1356
1181,0.0868,0.0392
1182,0.8,0.1344
1183,0.086,0.0424
1184,0.8088,0.1228
1185,0.0824,0.0404
