BETA,GAMMA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.10630449594493915,0.18429617667915033,0.35733647999999996,0.00011901938920960001,0.010909600781403506,0.030530330352511188
0.10630449594493915,0.1959151216645652,0.35580776000000003,0.00011820185978240001,0.010872067870575496,0.03055601673941989
0.10630449594493915,0.2082665825654304,0.35423000000000004,0.00011592761200000001,0.010766968561298952,0.030395416992628942
0.10630449594493915,0.22139674081793126,0.3524772,0.00012211951216,0.011050769754184547,0.03135172928684337
0.10630449594493915,0.23535468936502527,0.350264,0.00011936032,0.010925214872028834,0.031191372427736886
0.10630449594493915,0.25019261621226735,0.34813128,0.0001183326855616,0.010878082807259742,0.031247070953405114
0.10630449594493915,0.265965999555907,0.34576167999999996,0.00011597990757760001,0.010769396806581137,0.03114687783383381
0.10630449594493915,0.28273381521282603,0.34314144,0.00011080226672640001,0.01052626556412102,0.030676171214182174
0.10630449594493915,0.3005587571278905,0.34022863999999997,0.00011587975575039997,0.010764745967759759,0.03163974075715601
0.10630449594493915,0.3195074717831778,0.3372628,0.00011565183216000001,0.010754154181524459,0.03188657089226698
0.10630449594493915,0.33965080738552583,0.33343888,0.0001239748723456,0.011134400403506243,0.033392627768861996
0.10630449594493915,0.36106407876409946,0.32959168,0.0001140686027776,0.010680290388261923,0.03240461163419514
0.10630449594493915,0.38382734896841403,0.32528768,0.00011670143221759999,0.010802843709764573,0.033210122528355736
0.10630449594493915,0.40802572861969516,0.32037208,0.0001221038284736,0.011050060111764098,0.034491333051756876
0.10630449594493915,0.4337496941348323,0.31509232000000004,0.0001200902930176,0.010958571668680184,0.03477892342371335
0.10630449594493915,0.4610954260127488,0.30901576,0.00012032845562239997,0.010969432784898222,0.03549797196394845
0.10630449594493915,0.4901651684480225,0.3020508,0.00011913069935999999,0.010914701065993515,0.03613531586737567
0.10630449594493915,0.5210676116163322,0.29417704,0.00011612843283840002,0.010776290309675219,0.03663198973541653
0.10630449594493915,0.5539182980610752,0.2849808,0.00012495137536000002,0.011178165115974983,0.03922427446331467
0.10630449594493915,0.5888400547006117,0.27490416,0.00011699100669439999,0.010816238102704654,0.039345487178894106
0.10630449594493915,0.6259634520713893,0.4837437599999999,0.1610673705970624,0.401331995481375,0.8296375657256542
0.10630449594493915,0.6654272925240312,0.48603888000000006,0.1829123818483456,0.4276825713637927,0.8799348960803148
0.10630449594493915,0.7073791291977272,0.4786143199999999,0.17336657080293758,0.4163731148896835,0.869955405616956
0.10630449594493915,0.7519758177133438,0.47063056,0.16170801692208642,0.4021293534698585,0.8544480270678949
0.10630449594493915,0.7993841026480046,0.45222152000000004,0.11460031992088959,0.33852669011599307,0.7485859808617534
0.10630449594493915,0.8497812409839364,0.454588,0.126053192688,0.3550397057907749,0.7810142498059229
0.10630449594493915,0.9033556648626223,0.41129528,0.0567231636257216,0.23816625207136632,0.5790639077389031
